node1,node2,node3,node4,node5,node6,node7,node8,node9,node10,node11,node12,node13,node14,node15,node16,Fitting Area Wear(mm^2)
14.08270818,8.079707822,7.317809229,9.23623114,3.695662472,8.349495727,24.11809768,11.08904848,6.23869482,13.76394195,8.68483007,12.96498849,24.50591516,5.286154266,4.64484366,4.887682992,0.11
18.65466371,13.11206826,10.8192105,9.59749063,2.743078379,5.440273281,16.82497152,6.804179531,4.848887309,11.00818462,4.93470269,9.368508365,20.76838361,6.6709929,2.936434648,3.981384074,0.28
14.77240884,13.18972745,9.036805067,6.588632074,5.70464944,4.164091149,19.20365944,8.124415734,4.559236778,9.815918283,6.003115344,9.427980063,17.46138689,3.71884881,3.092090451,3.435446049,0.37
14.85779724,9.228344863,8.698594655,7.387535469,4.858421494,6.59823725,19.97753127,8.183357915,4.720692725,8.722734697,6.363969467,8.692748973,17.43781892,5.026338912,3.202743348,4.353505137,0.44
15.10439465,10.26131093,6.997642535,9.463892988,3.797864855,6.276934288,20.21442342,8.55357545,5.649095847,10.1004068,6.13202985,8.676261719,18.10077704,5.064837946,2.68971766,5.656992323,0.5
16.64405686,13.30456345,14.16479312,9.212485478,2.997868203,5.666352864,18.86906963,7.025724911,4.982667996,8.599830838,5.068111131,8.195136049,17.19461974,5.110238092,2.770788059,2.685587384,0.54
14.71122856,11.85939088,13.52926833,8.719331711,3.885032367,5.277245049,18.75461018,7.917463537,4.44630421,8.96577698,5.192725227,9.270529027,16.47258262,4.253730319,2.365874514,2.544842596,0.58
13.06824023,13.15166863,8.67408019,7.551124826,6.982264948,5.182769448,17.1338972,7.362709181,5.274551497,9.836873702,4.739812671,11.09514613,16.52985535,3.508244921,2.825928192,4.520482224,0.61
13.93809747,13.63952718,10.81813986,4.845640687,8.163462266,5.099250226,18.17595375,6.240282478,4.901750407,10.30738778,4.98823925,10.78149242,15.41724146,4.11210648,3.121062412,3.553598633,0.64
19.61651277,14.03304473,11.7287486,6.750975651,8.294659728,5.639496437,20.68276654,7.491437366,5.891025871,10.40540427,4.59625649,9.54463636,16.12594749,4.588338624,2.804012872,1.494975463,0.67
14.81600073,14.0026673,8.019596113,8.328121142,4.642188797,5.307317112,18.67351951,7.184014158,5.218328501,10.33355406,4.42056468,8.222664041,17.18377113,4.633161619,2.71544454,1.881580915,0.69
16.86565926,11.89294792,13.16945206,9.901402368,2.814294878,5.608010558,18.88320596,7.366935594,5.132227967,10.07615487,3.432266939,10.00814979,18.77054577,5.655571841,2.339480052,3.439566682,0.71
14.66789644,12.94800028,8.886709169,8.249107056,3.132672824,4.677438208,16.8424854,8.11937459,4.883148969,9.361922613,3.38773463,10.286871,16.97098006,6.816343334,3.072158154,2.988469738,0.73
15.55232253,14.34039684,11.45910257,7.62280641,5.14320351,4.767260026,17.46299752,6.415258408,4.686765692,10.4985367,4.313256494,12.14428026,17.70374266,5.192196672,2.768240935,1.496694826,0.75
15.81860484,13.53135273,9.084874715,7.559946099,7.271370756,4.84875635,18.28719051,6.260967671,4.743883258,8.458738566,4.058055675,12.10315608,18.53370417,4.253370579,2.302066699,1.51209233,0.77
16.45872742,13.73376082,7.540222644,5.945304459,6.622924461,5.731804145,18.30811471,5.678416059,4.151620756,9.816048459,4.698932789,10.92503745,20.01698937,4.177477412,2.839414758,2.282578432,0.78
17.26348378,14.32883098,8.030658358,5.744704632,6.205796997,4.846235185,5.252698462,3.42543745,2.910532973,3.286257866,2.674925766,9.446699747,16.60246171,3.854664975,3.675935919,3.668931799,0.8
18.08344854,19.5468639,7.978919553,7.448105868,7.922170556,8.506905968,6.441502077,4.971055397,3.646231168,4.641534812,3.669655653,9.104132703,15.14227014,5.424025003,7.727673414,14.85252161,0.81
16.05944957,13.83660788,8.603847208,4.553030774,7.465611814,8.164949885,7.43042217,5.527566639,4.570722569,5.594195536,3.103924483,6.233664805,10.20732929,7.122873192,12.04726975,24.57430445,0.82
