,node1,node2,node12,node4,node6,node13,node3,node14,node7,node10
0,14.08270818,8.079707822,12.96498849,9.23623114,8.349495727,24.50591516,7.317809229,5.2861542660000005,24.11809768,13.76394195
1,18.65466371,13.11206826,9.368508365,9.59749063,5.4402732810000005,20.76838361,10.819210499999999,6.670992900000001,16.82497152,11.00818462
2,14.77240884,13.18972745,9.427980063,6.5886320739999995,4.164091149,17.46138689,9.036805067000001,3.71884881,19.20365944,9.815918283
3,14.85779724,9.228344863,8.692748972999999,7.3875354689999995,6.59823725,17.43781892,8.698594655,5.026338912,19.97753127,8.722734697
4,15.10439465,10.26131093,8.676261719,9.463892988,6.276934288,18.10077704,6.997642535,5.064837946,20.21442342,10.100406800000002
5,16.64405686,13.30456345,8.195136049,9.212485478,5.666352863999999,17.19461974,14.16479312,5.1102380919999995,18.86906963,8.599830837999999
6,14.71122856,11.85939088,9.270529027,8.719331711,5.277245048999999,16.47258262,13.52926833,4.253730319,18.75461018,8.96577698
7,13.06824023,13.15166863,11.09514613,7.551124826000001,5.182769448,16.52985535,8.67408019,3.508244921,17.133897199999996,9.836873702
8,13.93809747,13.63952718,10.78149242,4.8456406869999995,5.0992502260000006,15.41724146,10.81813986,4.11210648,18.17595375,10.30738778
9,19.61651277,14.03304473,9.54463636,6.750975651,5.639496437000001,16.12594749,11.7287486,4.5883386239999995,20.68276654,10.40540427
10,14.81600073,14.0026673,8.222664041,8.328121142,5.307317112,17.18377113,8.019596112999999,4.633161619,18.67351951,10.33355406
11,16.86565926,11.89294792,10.00814979,9.901402368,5.608010557999999,18.77054577,13.16945206,5.655571841,18.88320596,10.07615487
12,14.66789644,12.94800028,10.286871000000001,8.249107056,4.677438208,16.97098006,8.886709169,6.816343334,16.842485399999997,9.361922612999999
13,15.55232253,14.34039684,12.14428026,7.62280641,4.767260026000001,17.70374266,11.45910257,5.192196672,17.46299752,10.4985367
14,15.81860484,13.53135273,12.10315608,7.559946098999999,4.84875635,18.53370417,9.084874715,4.253370578999999,18.28719051,8.458738566000001
15,16.45872742,13.73376082,10.92503745,5.945304459,5.731804145,20.01698937,7.540222644,4.177477412,18.30811471,9.816048459
16,17.26348378,14.32883098,9.446699747,5.744704632,4.846235185,16.60246171,8.030658358,3.854664975,5.252698462,3.286257866
17,18.08344854,19.546863899999998,9.104132703,7.448105868,8.506905968,15.14227014,7.978919553,5.424025003,6.441502077000001,4.641534812
18,16.05944957,13.83660788,6.233664805,4.553030774,8.164949885,10.20732929,8.603847208,7.122873192,7.43042217,5.594195536
19,17.07170091,12.67215648,5.694922677999999,6.528689807999999,7.758682512000001,10.56368199,8.301623991,6.951911397999999,9.071159628,5.593901926
20,14.57282556,13.24159659,5.827590582000001,9.294890956,7.892124974,10.598352499999999,8.904587308,7.617271861,10.05389462,6.101549081
21,14.65147459,11.34808087,5.81818887,9.00244885,8.286919454,10.04085827,10.07924067,8.774303563,10.6470121,5.891399947000001
22,14.88972022,14.78867733,6.260823397999999,7.720503654,8.765055621,10.3567206,6.0798204170000005,8.411455235,8.817730865,6.279079094
23,26.47162816,9.632302698,9.390306718,4.602834835,5.1073436160000005,17.18203512,8.021243802,4.916501646,6.5363217,6.232092896
24,10.66427594,7.1818855070000005,7.187040119,8.456067327000001,7.608211021,10.74763503,10.48393229,5.143396398,22.44414221,13.94097657
